[ 2025-03-05 05:38:39,982 ] root - INFO - Loading object from artifact/data_transformation/preprocessor.pkl
[ 2025-03-05 05:38:40,415 ] root - INFO - Loading object from artifact/model_training/model.pkl.zip
[ 2025-03-05 05:38:40,789 ] root - INFO - Loading schema from config/schema.yaml
[ 2025-03-05 05:38:40,818 ] werkzeug - WARNING -  * Debugger is active!
[ 2025-03-05 05:38:40,825 ] werkzeug - INFO -  * Debugger PIN: 145-691-381
[ 2025-03-05 05:38:42,904 ] root - INFO - Preprocessing input data
[ 2025-03-05 05:38:42,904 ] root - INFO - Loading schema from config/schema.yaml
[ 2025-03-05 05:38:42,910 ] root - INFO - Extracting schema columns
[ 2025-03-05 05:38:42,920 ] root - ERROR - Error preprocessing input data: Error occurred python script name [/Users/mirza/Desktop/mirza7865-USVisa-MLOps-ProductionGrade/us_visa/pipline/prediction_pipeline.py] line number [91] error message [Shape of passed values is (1, 22), indices imply (1, 24)]
[ 2025-03-05 05:38:42,920 ] werkzeug - INFO - 127.0.0.1 - - [05/Mar/2025 05:38:42] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
